path,N,method,duration,objective,fairness,min,max,mean,std
../instances/500/test/instance59_nreq500_nveh10_gamma448.txt,500,BS,77.4904,39181.8,maxmin,44,45,44.8,0.421637
../instances/500/test/instance59_nreq500_nveh10_gamma448.txt,500,GA,42702.6,38023.8,maxmin,42,47,44.8,1.68655
../instances/500/test/instance35_nreq500_nveh10_gamma472.txt,500,DC ,9.08663,45691.6,maxmin,0,98,47.2,48.721
../instances/500/test/instance35_nreq500_nveh10_gamma472.txt,500,RC,10.2141,44983.6,maxmin,0,98,47.2,48.721
../instances/500/test/instance35_nreq500_nveh10_gamma472.txt,500,BS,86.7172,43900.5,maxmin,47,48,47.2,0.421637
../instances/500/test/instance35_nreq500_nveh10_gamma472.txt,500,GA,50883.8,40977,maxmin,26,83,47.2,16.4236
../instances/500/test/instance47_nreq500_nveh10_gamma462.txt,500,DC ,11.9482,44889.1,maxmin,0,97,46.2,47.6114
../instances/500/test/instance47_nreq500_nveh10_gamma462.txt,500,RC,15.0699,45371.5,maxmin,0,97,46.2,47.6114
../instances/500/test/instance47_nreq500_nveh10_gamma462.txt,500,BS,116.185,41696.5,maxmin,46,47,46.2,0.421637
../instances/500/test/instance47_nreq500_nveh10_gamma462.txt,500,GA,77015.4,39478.3,maxmin,2,104,46.2,38.6373
../instances/500/test/instance33_nreq500_nveh10_gamma459.txt,500,DC ,13.1127,42636,maxmin,0,98,45.9,47.1816
../instances/500/test/instance33_nreq500_nveh10_gamma459.txt,500,RC,14.4344,44187.8,maxmin,0,98,45.9,47.1816
../instances/500/test/instance33_nreq500_nveh10_gamma459.txt,500,BS,121.372,41302.7,maxmin,45,46,45.9,0.316228
../instances/500/test/instance33_nreq500_nveh10_gamma459.txt,500,GA,78223.4,38141.9,maxmin,0,94,45.9,37.6872
../instances/500/test/instance59_nreq500_nveh10_gamma448.txt,500,DC ,13.0315,53791.3,gini,0,92,44.8,45.6917
../instances/500/test/instance59_nreq500_nveh10_gamma448.txt,500,RC,13.1879,54664.9,gini,0,92,44.8,45.6917
../instances/500/test/instance59_nreq500_nveh10_gamma448.txt,500,BS,76.5902,39380.4,gini,44,45,44.8,0.421637
../instances/500/test/instance59_nreq500_nveh10_gamma448.txt,500,GA,40978.6,38753.1,gini,42,47,44.8,1.54919
../instances/500/test/instance33_nreq500_nveh10_gamma459.txt,500,DC ,13.3089,48901.7,gini,0,98,45.9,47.1816
../instances/500/test/instance33_nreq500_nveh10_gamma459.txt,500,RC,12.9259,50384.6,gini,0,98,45.9,47.1816
../instances/500/test/instance33_nreq500_nveh10_gamma459.txt,500,BS,79.9862,41507.3,gini,45,46,45.9,0.316228
../instances/500/test/instance33_nreq500_nveh10_gamma459.txt,500,GA,42844.6,39145.8,gini,44,48,45.9,1.19722
../instances/500/test/instance35_nreq500_nveh10_gamma472.txt,500,DC ,9.17436,53805.9,gini,0,98,47.2,48.721
../instances/500/test/instance35_nreq500_nveh10_gamma472.txt,500,RC,10.1319,54674.4,gini,0,98,47.2,48.721
../instances/500/test/instance35_nreq500_nveh10_gamma472.txt,500,BS,84.8864,43988.3,gini,47,48,47.2,0.421637
../instances/500/test/instance35_nreq500_nveh10_gamma472.txt,500,GA,45614.6,41382.7,gini,43,51,47.2,3.04777
../instances/500/test/instance46_nreq500_nveh10_gamma436.txt,500,DC ,12.5914,51819.6,gini,0,90,43.6,44.6522
../instances/500/test/instance46_nreq500_nveh10_gamma436.txt,500,RC,13.7825,52964.2,gini,0,90,43.6,44.6522
../instances/500/test/instance46_nreq500_nveh10_gamma436.txt,500,BS,109.719,39974.5,gini,43,44,43.6,0.516398
../instances/500/test/instance46_nreq500_nveh10_gamma436.txt,500,GA,52398.3,38088.6,gini,39,46,43.6,2.01108
../instances/500/test/instance47_nreq500_nveh10_gamma462.txt,500,DC ,13.3428,51300.7,gini,0,97,46.2,47.6114
../instances/500/test/instance47_nreq500_nveh10_gamma462.txt,500,RC,14.6512,50854.1,gini,0,97,46.2,47.6114
../instances/500/test/instance47_nreq500_nveh10_gamma462.txt,500,BS,118.242,41863.4,gini,46,47,46.2,0.421637
../instances/500/test/instance47_nreq500_nveh10_gamma462.txt,500,GA,55137.9,41154.4,gini,43,50,46.2,1.98886
../instances/1000/test/instance43_nreq1000_nveh20_gamma858.txt,1000,DC ,27.7706,114547,jain,0,89,42.9,42.9564
../instances/1000/test/instance43_nreq1000_nveh20_gamma858.txt,1000,RC,29.5113,116798,jain,0,89,42.9,42.9564
../instances/1000/test/instance43_nreq1000_nveh20_gamma858.txt,1000,BS,147.062,104210,jain,42,43,42.9,0.307794
