path,N,k1,k2,beam_width,duration,objective
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,10,1,5,12463.6,8818.34
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,10,2,5,17249.2,8983.66
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,10,0,5,17600,8970.91
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,10,2,10,24690.4,8961.11
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,10,0,10,27328.3,8760.02
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,15,2,5,28029.5,8794.55
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,10,1,10,31812.6,9068.56
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,15,0,5,32019,8754.73
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,15,1,5,37079.3,8768.93
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,15,2,10,48517.3,8785.16
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,15,1,10,53682.4,8290.75
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,15,0,10,56660.2,8238.01
"../instances/200/train/instance10_nreq200_nveh4_gamma182.txt",200,5,0,5,3593.82,10342.7
"../instances/200/train/instance10_nreq200_nveh4_gamma182.txt",200,5,2,5,3599.68,10131.6
"../instances/200/train/instance10_nreq200_nveh4_gamma182.txt",200,5,1,5,3841.71,9473.73
"../instances/200/train/instance10_nreq200_nveh4_gamma182.txt",200,5,1,10,5835.75,9934.06
"../instances/200/train/instance10_nreq200_nveh4_gamma182.txt",200,5,0,10,6694.52,10194.2
"../instances/200/train/instance10_nreq200_nveh4_gamma182.txt",200,5,2,10,7047.12,9816.44
"../instances/200/train/instance10_nreq200_nveh4_gamma182.txt",200,10,0,5,15565.1,10192.6
"../instances/200/train/instance10_nreq200_nveh4_gamma182.txt",200,10,1,5,15748.7,9824.19
"../instances/200/train/instance10_nreq200_nveh4_gamma182.txt",200,10,2,5,15816.4,9848.52
"../instances/200/train/instance10_nreq200_nveh4_gamma182.txt",200,10,2,10,25906.8,9436.85
"../instances/200/train/instance10_nreq200_nveh4_gamma182.txt",200,10,1,10,25948.5,9415.9
"../instances/200/train/instance10_nreq200_nveh4_gamma182.txt",200,15,0,5,25972.6,10067.7
"../instances/200/train/instance10_nreq200_nveh4_gamma182.txt",200,10,0,10,26010.2,10074.7
"../instances/200/train/instance10_nreq200_nveh4_gamma182.txt",200,15,2,5,24579.7,9614.78
"../instances/200/train/instance10_nreq200_nveh4_gamma182.txt",200,15,1,5,33309,9416.04
"../instances/200/train/instance10_nreq200_nveh4_gamma182.txt",200,15,0,10,50828.4,10161.7
"../instances/200/train/instance10_nreq200_nveh4_gamma182.txt",200,15,2,10,48138.4,9416.81
"../instances/200/train/instance10_nreq200_nveh4_gamma182.txt",200,15,1,10,56857.3,9344.73
"../instances/500/train/instance29_nreq500_nveh10_gamma446.txt",500,5,2,5,9504.36,40181
"../instances/500/train/instance29_nreq500_nveh10_gamma446.txt",500,5,1,5,9560.75,40181
"../instances/500/train/instance29_nreq500_nveh10_gamma446.txt",500,5,0,5,9789.4,39877.4
"../instances/500/train/instance29_nreq500_nveh10_gamma446.txt",500,5,1,10,16932.8,39665.9
"../instances/500/train/instance29_nreq500_nveh10_gamma446.txt",500,5,2,10,17089,39874.4
"../instances/500/train/instance29_nreq500_nveh10_gamma446.txt",500,5,0,10,19271.6,39605.9
"../instances/500/train/instance29_nreq500_nveh10_gamma446.txt",500,10,1,5,35395.7,39067.3
"../instances/500/train/instance29_nreq500_nveh10_gamma446.txt",500,10,2,5,42472,39567.6
"../instances/500/train/instance29_nreq500_nveh10_gamma446.txt",500,10,0,5,49393.9,38694.3
"../instances/500/train/instance29_nreq500_nveh10_gamma446.txt",500,10,0,10,71424.8,37580.3
"../instances/500/train/instance29_nreq500_nveh10_gamma446.txt",500,15,2,5,71891,39328.4
"../instances/500/train/instance29_nreq500_nveh10_gamma446.txt",500,10,2,10,92654.9,39584.5
"../instances/500/train/instance29_nreq500_nveh10_gamma446.txt",500,10,1,10,95713.9,37410.8
"../instances/500/train/instance29_nreq500_nveh10_gamma446.txt",500,15,0,5,97157.9,37708.4
