path,N,k,bw1,bw2,duration,objective
"../instances/500/train/instance18_nreq500_nveh10_gamma448.txt",500,2,5,10,209209,37658.3
"../instances/500/train/instance18_nreq500_nveh10_gamma448.txt",500,2,10,5,250421,37371.5
"../instances/500/train/instance18_nreq500_nveh10_gamma448.txt",500,4,10,10,265950,38928.1
"../instances/500/train/instance18_nreq500_nveh10_gamma448.txt",500,2,10,10,275251,39034.6
"../instances/500/train/instance18_nreq500_nveh10_gamma448.txt",500,6,10,10,297697,39267.5
"../instances/500/train/instance28_nreq500_nveh10_gamma477.txt",500,4,5,10,126485,42547.7
"../instances/500/train/instance28_nreq500_nveh10_gamma477.txt",500,4,5,5,142605,39636.9
"../instances/500/train/instance28_nreq500_nveh10_gamma477.txt",500,2,5,5,151718,38909
"../instances/500/train/instance28_nreq500_nveh10_gamma477.txt",500,6,5,5,155038,39770.1
"../instances/500/train/instance28_nreq500_nveh10_gamma477.txt",500,2,10,5,175801,42375.7
"../instances/500/train/instance28_nreq500_nveh10_gamma477.txt",500,6,10,5,179010,41540.9
"../instances/500/train/instance28_nreq500_nveh10_gamma477.txt",500,2,5,10,182656,41868.2
"../instances/500/train/instance28_nreq500_nveh10_gamma477.txt",500,6,5,10,186695,41644.8
"../instances/500/train/instance28_nreq500_nveh10_gamma477.txt",500,6,10,10,199598,43591.3
"../instances/500/train/instance28_nreq500_nveh10_gamma477.txt",500,4,10,5,231656,41218.8
"../instances/500/train/instance28_nreq500_nveh10_gamma477.txt",500,2,10,10,246389,43271.4
"../instances/500/train/instance28_nreq500_nveh10_gamma477.txt",500,4,10,10,261981,43067
"../instances/500/train/instance1_nreq500_nveh10_gamma432.txt",500,4,5,5,155931,32713
"../instances/500/train/instance1_nreq500_nveh10_gamma432.txt",500,2,5,5,157187,32667.3
"../instances/500/train/instance1_nreq500_nveh10_gamma432.txt",500,6,5,5,157481,33081.9
"../instances/500/train/instance1_nreq500_nveh10_gamma432.txt",500,2,5,10,202413,36406.9
"../instances/500/train/instance1_nreq500_nveh10_gamma432.txt",500,4,5,10,202728,36136.7
"../instances/500/train/instance1_nreq500_nveh10_gamma432.txt",500,4,10,5,212655,35733.3
"../instances/500/train/instance1_nreq500_nveh10_gamma432.txt",500,6,5,10,223445,35996.2
"../instances/500/train/instance1_nreq500_nveh10_gamma432.txt",500,2,10,5,239126,36203.4
"../instances/500/train/instance1_nreq500_nveh10_gamma432.txt",500,6,10,5,243372,35174.1
"../instances/500/train/instance1_nreq500_nveh10_gamma432.txt",500,4,10,10,281965,37370.4
"../instances/500/train/instance1_nreq500_nveh10_gamma432.txt",500,6,10,10,291974,36961.1
"../instances/500/train/instance1_nreq500_nveh10_gamma432.txt",500,2,10,10,292927,37709
"../instances/500/train/instance9_nreq500_nveh10_gamma438.txt",500,2,5,5,117675,34736.6
"../instances/500/train/instance9_nreq500_nveh10_gamma438.txt",500,4,5,5,161503,34803.1
