path,N,method,duration,objective
"../instances/100/test/instance33_nreq100_nveh2_gamma92.txt",100,GA,12801.3,3236.38
"../instances/100/test/instance35_nreq100_nveh2_gamma89.txt",100,DC,0.908117,4208.45
"../instances/100/test/instance35_nreq100_nveh2_gamma89.txt",100,RC,1.05341,4152.93
"../instances/100/test/instance35_nreq100_nveh2_gamma89.txt",100,BS,11.0849,3507.15
"../instances/100/test/instance35_nreq100_nveh2_gamma89.txt",100,VND,156.444,2667.67
"../instances/100/test/instance35_nreq100_nveh2_gamma89.txt",100,SA,0.100579,4203.32
"../instances/100/test/instance35_nreq100_nveh2_gamma89.txt",100,LN,59133.6,3091.74
"../instances/100/test/instance35_nreq100_nveh2_gamma89.txt",100,GA,13039.2,3046.21
"../instances/100/test/instance57_nreq100_nveh2_gamma91.txt",100,DC,0.931686,3996.68
"../instances/100/test/instance57_nreq100_nveh2_gamma91.txt",100,RC,1.34272,4231.98
"../instances/100/test/instance57_nreq100_nveh2_gamma91.txt",100,BS,12.4729,3724.09
"../instances/100/test/instance57_nreq100_nveh2_gamma91.txt",100,VND,237.229,2718.52
"../instances/100/test/instance57_nreq100_nveh2_gamma91.txt",100,SA,1.48385,3990.99
"../instances/100/test/instance57_nreq100_nveh2_gamma91.txt",100,LN,63205.3,3329.39
"../instances/100/test/instance57_nreq100_nveh2_gamma91.txt",100,GA,12168.9,3327.75
"../instances/100/test/instance51_nreq100_nveh2_gamma93.txt",100,DC,1.01608,4118.81
"../instances/100/test/instance51_nreq100_nveh2_gamma93.txt",100,RC,1.20055,4487.22
"../instances/100/test/instance51_nreq100_nveh2_gamma93.txt",100,BS,11.3436,3936.32
"../instances/100/test/instance51_nreq100_nveh2_gamma93.txt",100,VND,218.033,2432.66
"../instances/100/test/instance51_nreq100_nveh2_gamma93.txt",100,SA,1.35499,4118.81
"../instances/100/test/instance51_nreq100_nveh2_gamma93.txt",100,LN,70292.6,3338.63
"../instances/100/test/instance51_nreq100_nveh2_gamma93.txt",100,GA,9901.9,3259.75
"../instances/100/test/instance56_nreq100_nveh2_gamma89.txt",100,DC,0.923796,3765
"../instances/100/test/instance56_nreq100_nveh2_gamma89.txt",100,RC,1.19192,4019.77
"../instances/100/test/instance56_nreq100_nveh2_gamma89.txt",100,BS,10.4617,3535.35
"../instances/100/test/instance56_nreq100_nveh2_gamma89.txt",100,VND,99.1055,3698.92
