path,N,lamda,objective
/home/chris/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,0.03,2849.25
/home/chris/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,0.05,2461.04
/home/chris/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,0.07,2419.01
/home/chris/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,0.1,2282.92
/home/chris/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,0.15,1898.57
/home/chris/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,0.2,1837.5
/home/chris/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,0.01,3247.39
/home/chris/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,0.03,2899.34
/home/chris/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,0.05,2515.27
/home/chris/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,0.07,2488.26
/home/chris/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,0.1,2363.23
/home/chris/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,0.15,2186.18
/home/chris/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,0.2,1901.09
/home/chris/Desktop/heuristics/instances/50/test/instance40_nreq50_nveh2_gamma46.txt,50,0.01,3604.16
/home/chris/Desktop/heuristics/instances/50/test/instance40_nreq50_nveh2_gamma46.txt,50,0.03,2920.71
/home/chris/Desktop/heuristics/instances/50/test/instance40_nreq50_nveh2_gamma46.txt,50,0.05,2928.41
/home/chris/Desktop/heuristics/instances/50/test/instance40_nreq50_nveh2_gamma46.txt,50,0.07,2405.58
/home/chris/Desktop/heuristics/instances/50/test/instance40_nreq50_nveh2_gamma46.txt,50,0.1,2426.6
/home/chris/Desktop/heuristics/instances/50/test/instance40_nreq50_nveh2_gamma46.txt,50,0.15,2024.08
/home/chris/Desktop/heuristics/instances/50/test/instance40_nreq50_nveh2_gamma46.txt,50,0.2,1914.39
/home/chris/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.01,3330.76
/home/chris/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.03,3074.68
/home/chris/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.05,2805.59
/home/chris/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.07,2417.41
/home/chris/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.1,2275.33
/home/chris/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.15,1991.13
/home/chris/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.2,1747.9
/home/chris/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.01,3784.86
/home/chris/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.03,3461.61
/home/chris/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.05,2972.14
/home/chris/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.07,2982.15
/home/chris/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.1,2556.59
/home/chris/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.15,2103.72
/home/chris/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.2,2123.76
/home/chris/Desktop/heuristics/instances/50/test/instance53_nreq50_nveh2_gamma44.txt,50,0.01,3611.74
/home/chris/Desktop/heuristics/instances/50/test/instance53_nreq50_nveh2_gamma44.txt,50,0.03,2933.35
/home/chris/Desktop/heuristics/instances/50/test/instance53_nreq50_nveh2_gamma44.txt,50,0.05,2782.24
/home/chris/Desktop/heuristics/instances/50/test/instance53_nreq50_nveh2_gamma44.txt,50,0.07,2629.11
/home/chris/Desktop/heuristics/instances/50/test/instance53_nreq50_nveh2_gamma44.txt,50,0.1,2248.72
/home/chris/Desktop/heuristics/instances/50/test/instance53_nreq50_nveh2_gamma44.txt,50,0.15,2080.5
/home/chris/Desktop/heuristics/instances/50/test/instance53_nreq50_nveh2_gamma44.txt,50,0.2,2022.41
/home/chris/Desktop/heuristics/instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,0.01,3708.38
/home/chris/Desktop/heuristics/instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,0.03,3087.34
/home/chris/Desktop/heuristics/instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,0.05,2905.97
/home/chris/Desktop/heuristics/instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,0.07,2708.93
/home/chris/Desktop/heuristics/instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,0.1,2146.02
/home/chris/Desktop/heuristics/instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,0.15,2093.91
/home/chris/Desktop/heuristics/instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,0.2,1975.02
/home/chris/Desktop/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,100,0.01,9882.32
/home/chris/Desktop/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,100,0.03,8065.25
/home/chris/Desktop/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,100,0.05,7190.21
/home/chris/Desktop/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,100,0.07,6396.16
/home/chris/Desktop/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,100,0.1,6224.15
/home/chris/Desktop/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,100,0.15,5260.07
/home/chris/Desktop/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,100,0.2,5154.06
/home/chris/Desktop/heuristics/instances/100/test/instance60_nreq100_nveh2_gamma87.txt,100,0.01,9769.36
/home/chris/Desktop/heuristics/instances/100/test/instance60_nreq100_nveh2_gamma87.txt,100,0.03,7635.28
/home/chris/Desktop/heuristics/instances/100/test/instance60_nreq100_nveh2_gamma87.txt,100,0.05,6837.24
/home/chris/Desktop/heuristics/instances/100/test/instance60_nreq100_nveh2_gamma87.txt,100,0.07,6120.19
/home/chris/Desktop/heuristics/instances/100/test/instance60_nreq100_nveh2_gamma87.txt,100,0.1,5480.13
/home/chris/Desktop/heuristics/instances/100/test/instance60_nreq100_nveh2_gamma87.txt,100,0.15,5071.09
/home/chris/Desktop/heuristics/instances/100/test/instance60_nreq100_nveh2_gamma87.txt,100,0.2,4939.07
/home/chris/Desktop/heuristics/instances/100/test/instance59_nreq100_nveh2_gamma96.txt,100,0.01,9298.25
/home/chris/Desktop/heuristics/instances/100/test/instance59_nreq100_nveh2_gamma96.txt,100,0.03,8469.17
/home/chris/Desktop/heuristics/instances/100/test/instance59_nreq100_nveh2_gamma96.txt,100,0.05,7183.01
/home/chris/Desktop/heuristics/instances/100/test/instance59_nreq100_nveh2_gamma96.txt,100,0.07,6310.86
/home/chris/Desktop/heuristics/instances/100/test/instance59_nreq100_nveh2_gamma96.txt,100,0.1,5702.73
/home/chris/Desktop/heuristics/instances/100/test/instance59_nreq100_nveh2_gamma96.txt,100,0.15,5252.61
/home/chris/Desktop/heuristics/instances/100/test/instance59_nreq100_nveh2_gamma96.txt,100,0.2,5262.61
/home/chris/Desktop/heuristics/instances/100/test/instance40_nreq100_nveh2_gamma86.txt,100,0.01,9600.79
/home/chris/Desktop/heuristics/instances/100/test/instance40_nreq100_nveh2_gamma86.txt,100,0.03,7942.55
/home/chris/Desktop/heuristics/instances/100/test/instance40_nreq100_nveh2_gamma86.txt,100,0.05,6428.29
/home/chris/Desktop/heuristics/instances/100/test/instance40_nreq100_nveh2_gamma86.txt,100,0.07,6032.24
/home/chris/Desktop/heuristics/instances/100/test/instance40_nreq100_nveh2_gamma86.txt,100,0.1,5317.87
/home/chris/Desktop/heuristics/instances/100/test/instance40_nreq100_nveh2_gamma86.txt,100,0.15,5054.76
/home/chris/Desktop/heuristics/instances/100/test/instance40_nreq100_nveh2_gamma86.txt,100,0.2,5044.75
/home/chris/Desktop/heuristics/instances/100/test/instance35_nreq100_nveh2_gamma89.txt,100,0.01,10088.3
/home/chris/Desktop/heuristics/instances/100/test/instance35_nreq100_nveh2_gamma89.txt,100,0.03,7867.37
/home/chris/Desktop/heuristics/instances/100/test/instance35_nreq100_nveh2_gamma89.txt,100,0.05,6885.24
