path,N,permutation,objective
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance48_nreq500_nveh10_gamma433.txt,500,12,27982.2
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance48_nreq500_nveh10_gamma433.txt,500,21,27343.8
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance48_nreq500_nveh10_gamma433.txt,500,102,24575.9
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance48_nreq500_nveh10_gamma433.txt,500,120,24701.9
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance48_nreq500_nveh10_gamma433.txt,500,201,26799.2
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance48_nreq500_nveh10_gamma433.txt,500,210,27406.3
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance47_nreq500_nveh10_gamma462.txt,500,12,26554.6
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance47_nreq500_nveh10_gamma462.txt,500,21,25772.3
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance47_nreq500_nveh10_gamma462.txt,500,102,24968
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance47_nreq500_nveh10_gamma462.txt,500,120,25593.4
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance47_nreq500_nveh10_gamma462.txt,500,201,27461.1
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance47_nreq500_nveh10_gamma462.txt,500,210,28096.8
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance33_nreq500_nveh10_gamma459.txt,500,12,26634
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance33_nreq500_nveh10_gamma459.txt,500,21,26949.6
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance33_nreq500_nveh10_gamma459.txt,500,102,25614.5
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance33_nreq500_nveh10_gamma459.txt,500,120,26331.1
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance33_nreq500_nveh10_gamma459.txt,500,201,26576.4
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance33_nreq500_nveh10_gamma459.txt,500,210,25498.9
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance55_nreq500_nveh10_gamma439.txt,500,12,26711.2
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance55_nreq500_nveh10_gamma439.txt,500,21,24857.2
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance55_nreq500_nveh10_gamma439.txt,500,102,26215.6
