path,N,T,iters,alpha,objective
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance55_nreq100_nveh2_gamma88.txt,100,10,100,0.99,2804.78
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance55_nreq100_nveh2_gamma88.txt,100,50,100,0.95,2698.5
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance55_nreq100_nveh2_gamma88.txt,100,50,100,0.97,3473.13
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance55_nreq100_nveh2_gamma88.txt,100,50,100,0.99,2765.68
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance55_nreq100_nveh2_gamma88.txt,100,100,100,0.95,3473.13
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance55_nreq100_nveh2_gamma88.txt,100,100,100,0.97,2648.36
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance55_nreq100_nveh2_gamma88.txt,100,100,100,0.99,2688.47
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,10,100,0.95,4423.47
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,10,100,0.97,3473.85
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,10,100,0.99,3425.81
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,50,100,0.95,3488.84
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,50,100,0.97,3426.78
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,50,100,0.99,3336.7
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,100,100,0.95,3379.74
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,100,100,0.97,3449.83
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,100,100,0.99,3547.91
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,100,10,100,0.95,3881.85
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,100,10,100,0.97,3881.85
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,100,10,100,0.99,3011.31
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,100,50,100,0.95,3881.85
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,100,50,100,0.97,3047.34
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,100,50,100,0.99,3881.85
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,100,100,100,0.95,3082.37
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,100,100,100,0.97,2986.29
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,100,100,100,0.99,3004.3
